quarter,runway_months,funding_stage,revenue_monthly_k,burn_rate_monthly_k,founder_experience,founder_background,sector,milestones_completed,staff_count,equity_given,outcome
1,36.0,series_a,80.03,70.62,8,first_time,Fintech,1,2,32.6,0
7,16.4,angels,11.51,51.15,10,first_time,SaaS,2,1,13.0,0
6,36.0,series_b,112.89,104.12,9,technical,E-commerce,3,3,43.6,1
4,16.5,seed,27.03,94.42,11,business,Fintech,3,0,24.7,1
4,11.5,bootstrap,3.88,33.11,7,technical,AI,1,2,0.4,0
7,36.0,series_a,273.29,79.38,10,business,Healthtech,3,3,30.2,1
1,10.3,angels,26.58,72.91,10,business,SaaS,1,1,10.7,1
6,36.0,bootstrap,45.28,26.76,10,technical,AI,0,0,1.7,1
2,36.0,bootstrap,42.11,20.0,14,business,AI,0,0,2.6,1
1,33.6,seed,40.31,68.75,6,technical,SaaS,0,2,20.0,1
5,4.9,bootstrap,11.11,51.14,14,first_time,Healthtech,1,0,3.5,0
8,36.0,bootstrap,32.89,40.42,1,business,AI,2,1,4.8,1
6,9.5,bootstrap,0.57,33.54,8,technical,SaaS,1,1,1.2,1
7,36.0,angels,75.03,28.27,7,technical,SaaS,1,1,10.0,1
6,13.7,angels,16.12,49.12,14,technical,AI,2,3,13.8,1
7,11.5,angels,11.64,68.5,1,first_time,Healthtech,2,0,13.9,0
5,29.0,bootstrap,6.83,20.0,4,business,Healthtech,1,0,0.2,0
2,36.0,bootstrap,51.62,31.33,8,first_time,AI,1,1,3.1,1
7,36.0,seed,194.5,59.19,13,technical,Healthtech,2,3,21.2,1
4,35.3,angels,26.6,39.53,7,business,Fintech,1,1,13.2,1
5,36.0,seed,92.88,68.72,10,first_time,SaaS,2,0,23.6,1
3,36.0,bootstrap,153.68,41.65,3,technical,E-commerce,1,2,1.1,1
2,1.4,bootstrap,4.95,41.49,15,technical,E-commerce,0,1,1.3,0
8,36.0,bootstrap,21.78,20.35,12,first_time,Fintech,2,0,3.1,1
7,36.0,angels,12.34,25.31,1,first_time,Fintech,2,1,12.9,1
6,36.0,angels,156.94,53.94,11,first_time,AI,0,1,14.4,1
4,23.1,series_a,7.69,72.41,2,first_time,E-commerce,1,4,32.6,1
7,9.8,angels,3.45,77.57,9,business,Fintech,1,3,14.0,0
5,10.9,angels,28.63,78.27,11,technical,E-commerce,2,1,13.7,1
4,6.6,angels,6.12,79.86,14,first_time,E-commerce,1,2,13.3,0
4,33.9,bootstrap,10.25,20.9,2,business,SaaS,2,0,1.0,0
2,36.0,angels,92.38,58.54,5,business,Healthtech,0,2,11.4,1
1,11.6,bootstrap,11.45,48.06,11,technical,SaaS,0,0,2.8,1
5,13.9,angels,1.75,61.38,4,business,SaaS,1,0,10.3,1
8,36.0,bootstrap,94.29,29.68,11,technical,Fintech,1,0,0.2,1
1,15.2,seed,12.43,84.19,3,technical,E-commerce,1,1,20.2,1
7,36.0,series_b,110.3,95.01,3,first_time,AI,2,3,44.6,1
7,25.8,bootstrap,20.98,36.92,9,first_time,Healthtech,1,1,3.4,0
